	assembly	CDStype	host_taxid	host_domain	evidence	is_inherited	bp	numcontigs	accession	numCDS	T1_M	T1_E	T1_S	T1_RM	T2_M	T2_E	T2_RM	T3_M	T3_E	T3_RM	orphanMTases	pEndo	pRM	T4	T2G	pT4	pT2G	virus_RM	virus_MTtotal	virus_lineage
19	GCF_000846705	allframes	9544	Eukaryota	Literature	False	34246	1	NC_006144	2085	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	dsDNA viruses, no RNA stage
21	GCF_000846725	allframes	571	Bacteria	RefSeq	False	51601	1	NC_005857	3728	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	dsDNA viruses, no RNA stage
23	GCF_000846745	allframes	85569	Bacteria	RefSeq	False	41391	1	NC_005841	3470	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	dsDNA viruses, no RNA stage
24	GCA_000883175	allframes	29058	Eukaryota	Literature	False	132425	1	AP010907	12034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	dsDNA viruses, no RNA stage
26	GCA_000884815	allframes	7092	Eukaryota	RefSeq	False	126770	1	FJ882854	11554	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	dsDNA viruses, no RNA stage
29	GCF_000846805	allframes	9606	Eukaryota	Literature, RefSeq, UniProt	False	34125	1	NC_001460	2954	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	dsDNA viruses, no RNA stage
31	GCF_000846825	allframes	9823	Eukaryota	Literature	False	32621	1	NC_002702	2406	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	dsDNA viruses, no RNA stage
34	GCA_000906615	allframes	5774	Eukaryota	RefSeq	False	1230522	1	JX885207	168305	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	dsDNA viruses, no RNA stage
36	GCA_000914855	allframes	5755;5757;29195	Eukaryota	Literature;Literature;Literature	True	1244621	1	KF527229	169830	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	dsDNA viruses, no RNA stage
37	GCF_000846885	allframes	2271	Archaea	RefSeq	False	20933	1	NC_006556	1921	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	dsDNA viruses, no RNA stage
38	GCA_000919615	allframes	5757	Eukaryota	RefSeq	False	18338	1	JN603369	2590	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	dsDNA viruses, no RNA stage
39	GCF_000846905	allframes	203262	Eukaryota	Literature	False	140131	1	NC_006549	9815	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	dsDNA viruses, no RNA stage
40	GCA_000920455	allframes	5757	Eukaryota	RefSeq	False	18338	1	JN603370	2590	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	dsDNA viruses, no RNA stage
41	GCF_000846925	allframes	79879	Bacteria	RefSeq	False	41092	1	NC_006557	4040	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	dsDNA viruses, no RNA stage
44	GCA_000928975	allframes	9556	Eukaryota	RefSeq	False	5181	1	AB767295	510	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	dsDNA viruses, no RNA stage
45	GCF_000846965	allframes	9534;9606	Eukaryota	RefSeq;	False	150715	1	NC_006560	2530	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	dsDNA viruses, no RNA stage
49	GCF_000847005	allframes	9031	Eukaryota	RefSeq, UniProt	False	148687	1	NC_006623	11239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	dsDNA viruses, no RNA stage
50	GCA_001308675	allframes	194	Bacteria		False	172065	5	HM246722;HM246720;HM246721;HM246724;HM246723	25858	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	1	dsDNA viruses, no RNA stage
53	GCF_000847045	allframes	114055;554065	Eukaryota	UniProt;Literature, RefSeq	False	330611	1	NC_000852	29604	0	0	0	0	5	2	0	0	1	0	5	0	0	0	0	0	0	0	5	dsDNA viruses, no RNA stage
58	GCA_001736955	allframes	1423	Bacteria	RefSeq	False	154476	9	AB930187;AB930190;AB930183;AB930189;AB930186;AB930185;AB930188;AB930182;AB930184	16598	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	dsDNA viruses, no RNA stage
63	GCF_000847145	allframes	1423	Bacteria	UniProt	False	44010	1	NC_004166	3963	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	dsDNA viruses, no RNA stage
65	GCF_000847165	allframes	34051	Bacteria	RefSeq	False	39600	1	NC_001271	3435	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	dsDNA viruses, no RNA stage
67	GCF_000847185	allframes	9606;314293	Eukaryota	Literature, UniProt;UniProt	False	144575	1	NC_002642	19542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	dsDNA viruses, no RNA stage
69	GCF_000847205	allframes	562	Bacteria	RefSeq	False	42575	1	NC_003356	3099	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	dsDNA viruses, no RNA stage
73	GCF_000847245	allframes	9598	Eukaryota	Literature	False	35524	1	AC_000010	2582	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	dsDNA viruses, no RNA stage
75	GCF_000847265	allframes	9913	Eukaryota	Literature	False	34185	1	AC_000191	2791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	dsDNA viruses, no RNA stage
77	GCF_000847285	allframes	441921	Eukaryota	UniProt	False	81755	1	NC_005906	7819	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	dsDNA viruses, no RNA stage
80	GCA_002412125	allframes	32051	Bacteria	RefSeq	False	175430	1	HQ317290	16907	0	0	0	0	2	0	0	0	1	0	2	0	0	0	0	0	0	0	2	dsDNA viruses, no RNA stage
81	GCF_000847325	allframes	9541	Eukaryota	Literature	False	34450	1	NC_006879	2188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	dsDNA viruses, no RNA stage
82	GCA_002534635	allframes	32051	Bacteria		False	179200	1	KJ019029	19124	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	1	dsDNA viruses, no RNA stage
84	GCA_002534655	allframes	32051	Bacteria		False	179116	1	KJ019028	19114	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	1	dsDNA viruses, no RNA stage
141	GCF_000847945	allframes	9913	Eukaryota	RefSeq, UniProt	False	135301	1	NC_001847	3263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	dsDNA viruses, no RNA stage
143	GCF_000847965	allframes	9986;9988	Eukaryota	Literature, UniProt;Literature	False	159857	1	NC_001266	15821	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	dsDNA viruses, no RNA stage
149	GCF_000848025	allframes	1582	Bacteria	Literature, RefSeq	False	43411	1	NC_004112	3941	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	dsDNA viruses, no RNA stage
151	GCF_000848045	allframes	1902	Bacteria	UniProt	False	41491	1	NC_001978	2031	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	dsDNA viruses, no RNA stage
153	GCF_000848065	allframes	9393	Eukaryota	UniProt	False	33501	1	AC_000190	2606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	dsDNA viruses, no RNA stage
155	GCF_000848085	allframes	6657;27405	Eukaryota	UniProt;RefSeq	False	309286	1	NC_003225	27605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	dsDNA viruses, no RNA stage
159	GCF_000848125	allframes	9606	Eukaryota	RefSeq, UniProt	False	153080	1	NC_001716	18354	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	dsDNA viruses, no RNA stage
219	GCF_000848805	allframes	1596	Bacteria	Literature, RefSeq	False	43785	1	NC_000896	5507	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	dsDNA viruses, no RNA stage
221	GCF_000848825	allframes	562	Bacteria	RefSeq, UniProt	False	39732	1	NC_002167	3048	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	dsDNA viruses, no RNA stage
223	GCF_000848845	allframes	9534;9538	Eukaryota	UniProt;RefSeq	False	124784	1	NC_002686	11969	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	dsDNA viruses, no RNA stage
225	GCF_000848865	allframes	119488;270530	Eukaryota	Literature, UniProt;UniProt	False	111362	1	NC_003494	6304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	dsDNA viruses, no RNA stage
227	GCF_000848885	allframes	1313	Bacteria	Literature, RefSeq	False	42935	1	NC_005294	4552	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	dsDNA viruses, no RNA stage
229	GCF_000848905	allframes	9598	Eukaryota		False	36519	1	AC_000011	1964	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	dsDNA viruses, no RNA stage
301	GCF_000849625	allframes	1313	Bacteria	RefSeq, UniProt	False	19343	1	NC_001825	2130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	dsDNA viruses, no RNA stage
303	GCF_000849645	allframes	169963	Bacteria	Literature	False	40834	1	NC_003216	4810	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	dsDNA viruses, no RNA stage
307	GCF_000849685	allframes	37347	Eukaryota	UniProt	False	195859	1	NC_002794	6588	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	dsDNA viruses, no RNA stage
309	GCF_000849705	allframes	1301	Bacteria		False	40248	1	NC_003050	4401	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	dsDNA viruses, no RNA stage
313	GCF_000849745	allframes	9823	Eukaryota	UniProt	False	34094	1	AC_000189	1448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	dsDNA viruses, no RNA stage
315	GCF_000849765	allframes	7113;29058	Eukaryota	Literature;Literature	False	130759	1	NC_003094	11957	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	dsDNA viruses, no RNA stage
321	GCF_000849825	allframes	59931	Bacteria	RefSeq	False	46675	1	NC_003390	3663	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	dsDNA viruses, no RNA stage
760	GCA_002546055	allframes		Bacteria	inferred_taxonomically	True	175410	1	KX349226	16919	0	0	0	0	2	0	0	0	1	0	2	0	0	0	0	0	0	0	2	dsDNA viruses, no RNA stage
762	GCA_002546075	allframes		Bacteria	inferred_taxonomically	True	175432	1	KX349227	16931	0	0	0	0	2	0	0	0	1	0	2	0	0	0	0	0	0	0	2	dsDNA viruses, no RNA stage
764	GCA_002546105	allframes		Bacteria	inferred_taxonomically	True	175431	1	KX349228	16944	0	0	0	0	2	0	0	0	1	0	2	0	0	0	0	0	0	0	2	dsDNA viruses, no RNA stage
766	GCA_002546145	allframes		Bacteria	inferred_taxonomically	True	175083	1	KX349229	16915	0	0	0	0	2	0	0	0	1	0	2	0	0	0	0	0	0	0	2	dsDNA viruses, no RNA stage
768	GCA_002546175	allframes		Bacteria	inferred_taxonomically	True	175777	1	KX349230	16962	0	0	0	0	2	0	0	0	1	0	2	0	0	0	0	0	0	0	2	dsDNA viruses, no RNA stage
770	GCA_002546205	allframes		Bacteria	inferred_taxonomically	True	175439	1	KX349231	16972	0	0	0	0	2	0	0	0	1	0	2	0	0	0	0	0	0	0	2	dsDNA viruses, no RNA stage
772	GCA_002546255	allframes		Bacteria	inferred_taxonomically	True	175432	1	KX349232	16921	0	0	0	0	2	0	0	0	1	0	2	0	0	0	0	0	0	0	2	dsDNA viruses, no RNA stage
774	GCA_002546285	allframes		Bacteria	inferred_taxonomically	True	175447	1	KX349233	16914	0	0	0	0	2	0	0	0	1	0	2	0	0	0	0	0	0	0	2	dsDNA viruses, no RNA stage
776	GCA_002546315	allframes		Bacteria	inferred_taxonomically	True	175083	1	KX349234	16910	0	0	0	0	2	0	0	0	1	0	2	0	0	0	0	0	0	0	2	dsDNA viruses, no RNA stage
778	GCA_002546355	allframes		Bacteria	inferred_taxonomically	True	175440	1	KX349235	16916	0	0	0	0	2	0	0	0	1	0	2	0	0	0	0	0	0	0	2	dsDNA viruses, no RNA stage
780	GCA_002546415	allframes		Bacteria	inferred_taxonomically	True	174281	1	KX349236	16799	0	0	0	0	2	0	0	0	1	0	2	0	0	0	0	0	0	0	2	dsDNA viruses, no RNA stage
782	GCA_002546445	allframes		Bacteria	inferred_taxonomically	True	175340	1	KX349237	16905	0	0	0	0	2	0	0	0	1	0	2	0	0	0	0	0	0	0	2	dsDNA viruses, no RNA stage
784	GCA_002546485	allframes		Bacteria	inferred_taxonomically	True	175433	1	KX349238	16941	0	0	0	0	2	0	0	0	1	0	2	0	0	0	0	0	0	0	2	dsDNA viruses, no RNA stage
786	GCA_002546525	allframes		Bacteria	inferred_taxonomically	True	175434	1	KX349239	16933	0	0	0	0	2	0	0	0	1	0	2	0	0	0	0	0	0	0	2	dsDNA viruses, no RNA stage
788	GCA_002546555	allframes		Bacteria	inferred_taxonomically	True	174265	1	KX349240	16798	0	0	0	0	2	0	0	0	1	0	2	0	0	0	0	0	0	0	2	dsDNA viruses, no RNA stage
790	GCA_002546595	allframes		Bacteria	inferred_taxonomically	True	175439	1	KX349241	16923	0	0	0	0	2	0	0	0	1	0	2	0	0	0	0	0	0	0	2	dsDNA viruses, no RNA stage
792	GCA_002546645	allframes		Bacteria	inferred_taxonomically	True	175440	1	KX349242	16920	0	0	0	0	2	0	0	0	1	0	2	0	0	0	0	0	0	0	2	dsDNA viruses, no RNA stage
794	GCA_002546675	allframes		Bacteria	inferred_taxonomically	True	175442	1	KX349243	16923	0	0	0	0	2	0	0	0	1	0	2	0	0	0	0	0	0	0	2	dsDNA viruses, no RNA stage
796	GCA_002546705	allframes		Bacteria	inferred_taxonomically	True	175441	1	KX349244	16930	0	0	0	0	2	0	0	0	1	0	2	0	0	0	0	0	0	0	2	dsDNA viruses, no RNA stage
798	GCA_002546735	allframes		Bacteria	inferred_taxonomically	True	175423	1	KX349245	16937	0	0	0	0	2	0	0	0	1	0	2	0	0	0	0	0	0	0	2	dsDNA viruses, no RNA stage
800	GCA_002546755	allframes		Bacteria	inferred_taxonomically	True	175455	1	KX349246	16906	0	0	0	0	2	0	0	0	1	0	2	0	0	0	0	0	0	0	2	dsDNA viruses, no RNA stage
802	GCA_002546775	allframes		Bacteria	inferred_taxonomically	True	175437	1	KX349247	16923	0	0	0	0	2	0	0	0	1	0	2	0	0	0	0	0	0	0	2	dsDNA viruses, no RNA stage
804	GCA_002546825	allframes		Bacteria	inferred_taxonomically	True	174268	1	KX349248	16789	0	0	0	0	2	0	0	0	1	0	2	0	0	0	0	0	0	0	2	dsDNA viruses, no RNA stage
806	GCA_002546885	allframes		Bacteria	inferred_taxonomically	True	175438	1	KX349250	16930	0	0	0	0	2	0	0	0	1	0	2	0	0	0	0	0	0	0	2	dsDNA viruses, no RNA stage
808	GCA_002546915	allframes		Bacteria	inferred_taxonomically	True	175433	1	KX349251	16907	0	0	0	0	2	0	0	0	1	0	2	0	0	0	0	0	0	0	2	dsDNA viruses, no RNA stage
810	GCA_002546945	allframes		Bacteria	inferred_taxonomically	True	175424	1	KX349252	16923	0	0	0	0	2	0	0	0	1	0	2	0	0	0	0	0	0	0	2	dsDNA viruses, no RNA stage
812	GCA_002546985	allframes		Bacteria	inferred_taxonomically	True	175438	1	KX349253	16945	0	0	0	0	2	0	0	0	1	0	2	0	0	0	0	0	0	0	2	dsDNA viruses, no RNA stage
814	GCA_002547015	allframes		Bacteria	inferred_taxonomically	True	175441	1	KX349254	16929	0	0	0	0	2	0	0	0	1	0	2	0	0	0	0	0	0	0	2	dsDNA viruses, no RNA stage
816	GCA_002547045	allframes		Bacteria	inferred_taxonomically	True	175381	1	KX349255	16918	0	0	0	0	2	0	0	0	1	0	2	0	0	0	0	0	0	0	2	dsDNA viruses, no RNA stage
818	GCA_002547095	allframes		Bacteria	inferred_taxonomically	True	175435	1	KX349256	16919	0	0	0	0	2	0	0	0	1	0	2	0	0	0	0	0	0	0	2	dsDNA viruses, no RNA stage
820	GCA_002547125	allframes		Bacteria	inferred_taxonomically	True	175432	1	KX349257	16926	0	0	0	0	2	0	0	0	1	0	2	0	0	0	0	0	0	0	2	dsDNA viruses, no RNA stage
822	GCA_002547175	allframes		Bacteria	inferred_taxonomically	True	175429	1	KX349258	16932	0	0	0	0	2	0	0	0	1	0	2	0	0	0	0	0	0	0	2	dsDNA viruses, no RNA stage
824	GCA_002547225	allframes		Bacteria	inferred_taxonomically	True	174273	1	KX349259	16800	0	0	0	0	2	0	0	0	1	0	2	0	0	0	0	0	0	0	2	dsDNA viruses, no RNA stage
826	GCA_002547255	allframes		Bacteria	inferred_taxonomically	True	175436	1	KX349260	16928	0	0	0	0	2	0	0	0	1	0	2	0	0	0	0	0	0	0	2	dsDNA viruses, no RNA stage
828	GCA_002547275	allframes		Bacteria	inferred_taxonomically	True	174895	1	KX349261	16877	0	0	0	0	2	0	0	0	1	0	2	0	0	0	0	0	0	0	2	dsDNA viruses, no RNA stage
830	GCA_002547325	allframes		Bacteria	inferred_taxonomically	True	175145	1	KX349262	16911	0	0	0	0	2	0	0	0	1	0	2	0	0	0	0	0	0	0	2	dsDNA viruses, no RNA stage
832	GCA_002547385	allframes		Bacteria	inferred_taxonomically	True	175444	1	KX349263	16939	0	0	0	0	2	0	0	0	1	0	2	0	0	0	0	0	0	0	2	dsDNA viruses, no RNA stage
834	GCA_002547405	allframes		Bacteria	inferred_taxonomically	True	175434	1	KX349264	16922	0	0	0	0	2	0	0	0	1	0	2	0	0	0	0	0	0	0	2	dsDNA viruses, no RNA stage
836	GCA_002547435	allframes		Bacteria	inferred_taxonomically	True	175425	1	KX349265	16916	0	0	0	0	2	0	0	0	1	0	2	0	0	0	0	0	0	0	2	dsDNA viruses, no RNA stage
838	GCA_002547465	allframes		Bacteria	inferred_taxonomically	True	174272	1	KX349266	16796	0	0	0	0	2	0	0	0	1	0	2	0	0	0	0	0	0	0	2	dsDNA viruses, no RNA stage
840	GCA_002547515	allframes		Bacteria	inferred_taxonomically	True	175435	1	KX349267	16925	0	0	0	0	2	0	0	0	1	0	2	0	0	0	0	0	0	0	2	dsDNA viruses, no RNA stage
842	GCA_002547575	allframes		Bacteria	inferred_taxonomically	True	175437	1	KX349268	16935	0	0	0	0	2	0	0	0	1	0	2	0	0	0	0	0	0	0	2	dsDNA viruses, no RNA stage
844	GCA_002547595	allframes		Bacteria	inferred_taxonomically	True	175435	1	KX349269	16915	0	0	0	0	2	0	0	0	1	0	2	0	0	0	0	0	0	0	2	dsDNA viruses, no RNA stage
846	GCA_002547625	allframes		Bacteria	inferred_taxonomically	True	175438	1	KX349270	16927	0	0	0	0	2	0	0	0	1	0	2	0	0	0	0	0	0	0	2	dsDNA viruses, no RNA stage
848	GCA_002547655	allframes		Bacteria	inferred_taxonomically	True	175439	1	KX349271	16921	0	0	0	0	2	0	0	0	1	0	2	0	0	0	0	0	0	0	2	dsDNA viruses, no RNA stage
850	GCA_002547705	allframes		Bacteria	inferred_taxonomically	True	175431	1	KX349272	16923	0	0	0	0	2	0	0	0	1	0	2	0	0	0	0	0	0	0	2	dsDNA viruses, no RNA stage
852	GCA_002547745	allframes		Bacteria	inferred_taxonomically	True	175311	1	KX349273	16940	0	0	0	0	2	0	0	0	1	0	2	0	0	0	0	0	0	0	2	dsDNA viruses, no RNA stage
854	GCA_002547775	allframes		Bacteria	inferred_taxonomically	True	175648	1	KX349274	16971	0	0	0	0	2	0	0	0	1	0	2	0	0	0	0	0	0	0	2	dsDNA viruses, no RNA stage
856	GCA_002547795	allframes		Bacteria	inferred_taxonomically	True	175261	1	KX349275	16935	0	0	0	0	2	0	0	0	1	0	2	0	0	0	0	0	0	0	2	dsDNA viruses, no RNA stage
858	GCA_002547815	allframes		Bacteria	inferred_taxonomically	True	175432	1	KX349276	16934	0	0	0	0	2	0	0	0	1	0	2	0	0	0	0	0	0	0	2	dsDNA viruses, no RNA stage
860	GCA_002547875	allframes		Bacteria	inferred_taxonomically	True	175309	1	KX349277	16944	0	0	0	0	2	0	0	0	1	0	2	0	0	0	0	0	0	0	2	dsDNA viruses, no RNA stage
862	GCA_002547895	allframes		Bacteria	inferred_taxonomically	True	175312	1	KX349278	16942	0	0	0	0	2	0	0	0	1	0	2	0	0	0	0	0	0	0	2	dsDNA viruses, no RNA stage
864	GCA_002547955	allframes		Bacteria	inferred_taxonomically	True	175436	1	KX349279	16914	0	0	0	0	2	0	0	0	1	0	2	0	0	0	0	0	0	0	2	dsDNA viruses, no RNA stage
866	GCA_002547975	allframes		Bacteria	inferred_taxonomically	True	175307	1	KX349280	16939	0	0	0	0	2	0	0	0	1	0	2	0	0	0	0	0	0	0	2	dsDNA viruses, no RNA stage
868	GCA_002547995	allframes		Bacteria	inferred_taxonomically	True	175440	1	KX349281	16939	0	0	0	0	2	0	0	0	1	0	2	0	0	0	0	0	0	0	2	dsDNA viruses, no RNA stage
870	GCA_002548035	allframes		Bacteria	inferred_taxonomically	True	175448	1	KX349282	16919	0	0	0	0	2	0	0	0	1	0	2	0	0	0	0	0	0	0	2	dsDNA viruses, no RNA stage
872	GCA_002548055	allframes		Bacteria	inferred_taxonomically	True	175247	1	KX349283	16923	0	0	0	0	2	0	0	0	1	0	2	0	0	0	0	0	0	0	2	dsDNA viruses, no RNA stage
874	GCA_002548105	allframes		Bacteria	inferred_taxonomically	True	175334	1	KX349284	16953	0	0	0	0	2	0	0	0	1	0	2	0	0	0	0	0	0	0	2	dsDNA viruses, no RNA stage
876	GCA_002548135	allframes	32051	Bacteria		False	179110	1	KJ019031	19116	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	1	dsDNA viruses, no RNA stage
878	GCA_002548155	allframes	32051	Bacteria		False	158300	1	KJ019035	16956	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	1	dsDNA viruses, no RNA stage
880	GCA_002548185	allframes	32051	Bacteria		False	179107	1	KJ019036	19100	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	1	dsDNA viruses, no RNA stage
882	GCA_002548215	allframes	32051	Bacteria		False	179095	1	KJ019047	19101	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	1	dsDNA viruses, no RNA stage
884	GCA_002548235	allframes	32051	Bacteria		False	178873	1	KJ019048	19088	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	1	dsDNA viruses, no RNA stage
886	GCA_002548275	allframes	32051	Bacteria		False	179323	1	KJ019062	19119	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	1	dsDNA viruses, no RNA stage
888	GCA_002548325	allframes	32051	Bacteria		False	179116	1	KJ019072	19113	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	1	dsDNA viruses, no RNA stage
890	GCA_002548365	allframes	32051	Bacteria		False	178993	1	KJ019073	19092	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	1	dsDNA viruses, no RNA stage
892	GCA_002548405	allframes	32051	Bacteria		False	179101	1	KJ019075	19126	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	1	dsDNA viruses, no RNA stage
894	GCA_002548435	allframes	32051	Bacteria		False	179107	1	KJ019078	19115	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	1	dsDNA viruses, no RNA stage
896	GCA_002548475	allframes	32051	Bacteria		False	179111	1	KJ019079	19118	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	1	dsDNA viruses, no RNA stage
898	GCA_002548515	allframes	32051	Bacteria		False	179206	1	KJ019112	19124	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	1	dsDNA viruses, no RNA stage
900	GCA_002548555	allframes	32051	Bacteria		False	179254	1	KJ019113	19133	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	1	dsDNA viruses, no RNA stage
902	GCA_002548575	allframes	32051	Bacteria		False	179043	1	KJ019115	19094	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	1	dsDNA viruses, no RNA stage
904	GCA_002548615	allframes	32051	Bacteria		False	179155	1	KJ019117	19121	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	1	dsDNA viruses, no RNA stage
906	GCA_002548655	allframes	32051	Bacteria		False	179165	1	KJ019119	19116	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	1	dsDNA viruses, no RNA stage
908	GCA_002548685	allframes	32051	Bacteria		False	179130	1	KJ019120	19115	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	1	dsDNA viruses, no RNA stage
910	GCA_002548725	allframes	32051	Bacteria		False	179206	1	KJ019125	19116	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	1	dsDNA viruses, no RNA stage
