#orgid	T1_M	T1_E	T1_S	T1_RM	T2_M	T2_E	T2_RM	T3_M	T3_E	T3_RM	orphanMTases	pEndo	pRM	T4	T2G	pT4	pT2G
GCA_000919615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000846905	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
GCA_000920455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000846925	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_000925975	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000846945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_000928975	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000846965	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_000929915	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000846985	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_000989135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000847005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_001308675	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0
GCF_000847025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_001629945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000847045	0	0	0	0	5	2	0	0	1	0	5	0	0	0	0	0	0
GCA_001698315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000847065	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_001717295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000847085	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_001736955	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
GCF_000847105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_001857745	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000847125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_001857805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000847145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_001857825	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
GCF_000847165	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
GCA_002091415	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000847185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_002091435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000847205	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
GCA_002091455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000847225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_002116135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000847245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_002153825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000847265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_002407555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000847285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_002412105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000847305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_002412125	0	0	0	0	2	0	0	0	1	0	2	0	0	0	0	0	0
GCF_000847325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_002534635	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0
GCF_000847345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_002534655	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0
GCF_000847365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_002535665	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000847385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_002535685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000847405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_002535705	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000847425	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_002535745	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000847445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_002535795	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000847465	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_002535835	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000847485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_002535855	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000847505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_002535875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000847525	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_002535925	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000847545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_002535975	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000847565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_002536015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000847585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_002536035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000847605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_002536055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000847625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_002536115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000847645	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_002536175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000847665	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_002536195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000847685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_002536215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000847705	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_002536245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000847725	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_002536275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000847745	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_002536295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000847765	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_002536345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000847805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_002536385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000847825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_002536415	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000847845	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_002536445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000847865	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_002536465	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000847885	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_002536525	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000847905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_002536565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000847925	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_002536595	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000847945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_002536615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000847965	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_002536655	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000847985	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_002536705	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000848005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_002536755	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000848025	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
GCA_002536775	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000848045	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
GCA_002536815	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000848065	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_002536835	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000848085	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_002536885	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000848105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_002536915	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000848125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_002536935	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000848165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_002536965	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000848185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_002536995	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000848205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_002537055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000848225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_002537085	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000848245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_002537115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000848265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_002537135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000848285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_002537175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000848325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_002537225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000848365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_002537265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000848385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_002537295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000848405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_002537335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000848425	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_002537365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000848445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_002537435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000848465	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_002537455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000848485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_002537495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000848505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_002537525	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000848525	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_002537585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000848545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_002537615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000848565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_002537635	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000848585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_002537665	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000848605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_002537715	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000848625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_002537755	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000848645	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_002537795	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000848665	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_002537825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000848685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_002537865	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000848705	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_002537915	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000848725	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_002537955	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000848745	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_002537975	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000848785	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_002538005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000848805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_002538035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000848825	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
GCA_002538085	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000848845	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_002538125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000848865	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_002538155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000848885	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
GCA_002538185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000848905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_002538225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000848925	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_002538265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000848945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_002538295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000848965	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_002538325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000848985	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_002538355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000849005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_002538385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000849025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_002538425	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000849045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_002538465	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000849065	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_002538495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000849085	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_002538525	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000849105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_002538575	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000849125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_002538615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000849145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_002538645	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000849165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_002538675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000849185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_002538695	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000849205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_002538725	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000849225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_002538785	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000849245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_002538835	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000849265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_002538855	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000849285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_002538895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000849305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_002538925	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000849325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_002538965	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000849345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_002538995	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000849365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_002539035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000849385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_002539055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000849405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_002539075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000849425	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_002539105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000849445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_002539125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000849465	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_002539145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000849485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_002539165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000849505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_002539195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000849525	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_002539215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000849545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_002539245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000849565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_002539275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000849585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_002539295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000849605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_002539315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000849625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_002539335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000849645	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
GCA_002539355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000849665	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_002539375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000849685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_002539395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000849705	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
GCA_002539415	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000849725	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_002539445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000849745	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_002539465	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000849765	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_002539485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000849785	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_002539515	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000849805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_002539535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000849825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_002539555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000849845	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_002539575	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000849885	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_002539615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000849905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_002539635	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
