orgid	bp	numcontigs	numCDS	numCDS_allframes	accession	lineage
GCA_002591055	5060	1	5	517	KT264828	root;Viruses;ssDNA viruses;Microviridae;Gokushovirinae;unclassified Gokushovirinae;Gokushovirus WZ-2015a
GCA_002628585	50976	1	77	1695	MF541406	root;Viruses;dsDNA viruses, no RNA stage;Caudovirales;Siphoviridae;Arquatrovirinae;Likavirus;unclassified Likavirus;Streptomyces phage Dattran
GCA_002610605	30977	1	37	4008	KX119177	root;Viruses;unclassified bacterial viruses;Helicobacter phage SwA626G
GCA_002592405	31772	1	57	4024	JQ740805	root;Viruses;dsDNA viruses, no RNA stage;Caudovirales;Siphoviridae;Sk1virus;unclassified Sk1virus;Lactococcus phage 936 sensu lato;Lactococcus phage ASCC;Lactococcus phage ASCC473
GCA_002610625	30456	1	35	4023	KX119174	root;Viruses;unclassified bacterial viruses;Helicobacter phage UKEN31U
GCA_002628605	49908	1	74	1662	MF541407	root;Viruses;dsDNA viruses, no RNA stage;Caudovirales;Siphoviridae;Arquatrovirinae;Likavirus;unclassified Likavirus;Streptomyces phage Esperer
GCA_002592425	30876	1	54	3896	JQ740807	root;Viruses;dsDNA viruses, no RNA stage;Caudovirales;Siphoviridae;Sk1virus;unclassified Sk1virus;Lactococcus phage 936 sensu lato;Lactococcus phage ASCC;Lactococcus phage ASCC489
GCA_002610645	29882	1	35	3947	KX119206	root;Viruses;unclassified bacterial viruses;Helicobacter phage UKEN32U
GCA_002628625	50066	1	75	1689	MF541408	root;Viruses;dsDNA viruses, no RNA stage;Caudovirales;Siphoviridae;Arquatrovirinae;Likavirus;unclassified Likavirus;Streptomyces phage Jash
GCA_002592445	33178	1	57	4200	JQ740790	root;Viruses;dsDNA viruses, no RNA stage;Caudovirales;Siphoviridae;Sk1virus;unclassified Sk1virus;Lactococcus phage 936 sensu lato;Lactococcus phage ASCC;Lactococcus phage ASCC284
GCA_002610665	45306	1	73	5280	KU747973	root;Viruses;dsDNA viruses, no RNA stage;Caudovirales;Siphoviridae;unclassified Siphoviridae;Pseudoalteromonas phage vB_PspS-H40/1
GCA_002592465	32581	1	58	4112	JQ740791	root;Viruses;dsDNA viruses, no RNA stage;Caudovirales;Siphoviridae;Sk1virus;unclassified Sk1virus;Lactococcus phage 936 sensu lato;Lactococcus phage ASCC;Lactococcus phage ASCC287
GCA_002628645	49976	1	75	1690	MF541409	root;Viruses;dsDNA viruses, no RNA stage;Caudovirales;Siphoviridae;Arquatrovirinae;Likavirus;unclassified Likavirus;Streptomyces phage Oliynyk
GCA_002610685	36636	1	60	3639	KX077890	root;Viruses;dsDNA viruses, no RNA stage;Caudovirales;Podoviridae;unclassified Podoviridae;Streptococcus phage phiLP081102
GCA_002592485	32546	1	55	4114	JQ740792	root;Viruses;dsDNA viruses, no RNA stage;Caudovirales;Siphoviridae;Sk1virus;unclassified Sk1virus;Lactococcus phage 936 sensu lato;Lactococcus phage ASCC;Lactococcus phage ASCC310
GCA_002628665	49961	1	73	1658	MF541410	root;Viruses;dsDNA viruses, no RNA stage;Caudovirales;Siphoviridae;Arquatrovirinae;Likavirus;unclassified Likavirus;Streptomyces phage Ozzie
GCA_002592505	32277	1	58	4086	JQ740793	root;Viruses;dsDNA viruses, no RNA stage;Caudovirales;Siphoviridae;Sk1virus;unclassified Sk1virus;Lactococcus phage 936 sensu lato;Lactococcus phage ASCC;Lactococcus phage ASCC324
GCA_002610705	45451	1	72	4289	KX077891	root;Viruses;dsDNA viruses, no RNA stage;Caudovirales;Podoviridae;unclassified Podoviridae;Streptococcus phage phiJH1301-1
GCA_002610725	14113	1	24	1465	KX077892	root;Viruses;unclassified bacterial viruses;Streptococcus phage phiJH1301-3
GCA_002628685	53366	1	97	2161	MF472896	root;Viruses;dsDNA viruses, no RNA stage;Caudovirales;Siphoviridae;L5virus;unclassified L5likevirus;Mycobacterium phage JoshKayV
GCA_002592525	32275	1	58	4086	JQ740794	root;Viruses;dsDNA viruses, no RNA stage;Caudovirales;Siphoviridae;Sk1virus;unclassified Sk1virus;Lactococcus phage 936 sensu lato;Lactococcus phage ASCC;Lactococcus phage ASCC337
GCA_002610765	22861	1	26	2149	KX077894	root;Viruses;dsDNA viruses, no RNA stage;Caudovirales;Podoviridae;unclassified Podoviridae;Streptococcus phage phiZJ20091101-3
GCA_002592545	32545	1	54	4117	JQ740795	root;Viruses;dsDNA viruses, no RNA stage;Caudovirales;Siphoviridae;Sk1virus;unclassified Sk1virus;Lactococcus phage 936 sensu lato;Lactococcus phage ASCC;Lactococcus phage ASCC356
GCA_002628705	50283	1	87	1837	MF472895	root;Viruses;dsDNA viruses, no RNA stage;Caudovirales;Siphoviridae;L5virus;unclassified L5likevirus;Mycobacterium phage Kimona
GCA_002610785	41057	1	64	3920	KX077895	root;Viruses;dsDNA viruses, no RNA stage;Caudovirales;Podoviridae;unclassified Podoviridae;Streptococcus phage phiZJ20091101-4
GCA_002592565	32052	1	57	4042	JQ740796	root;Viruses;dsDNA viruses, no RNA stage;Caudovirales;Siphoviridae;Sk1virus;unclassified Sk1virus;Lactococcus phage 936 sensu lato;Lactococcus phage ASCC;Lactococcus phage ASCC358
GCA_002628745	50263	1	92	1952	MF472893	root;Viruses;dsDNA viruses, no RNA stage;Caudovirales;Siphoviridae;L5virus;unclassified L5likevirus;Mycobacterium phage MissWhite
GCA_002592585	32048	1	57	4042	JQ740797	root;Viruses;dsDNA viruses, no RNA stage;Caudovirales;Siphoviridae;Sk1virus;unclassified Sk1virus;Lactococcus phage 936 sensu lato;Lactococcus phage ASCC;Lactococcus phage ASCC365
GCA_002610805	67195	1	76	7051	KX077896	root;Viruses;dsDNA viruses, no RNA stage;Caudovirales;unclassified Caudovirales;Streptococcus phage phiJH1301-2
GCA_002592625	32239	1	58	4095	JQ740799	root;Viruses;dsDNA viruses, no RNA stage;Caudovirales;Siphoviridae;Sk1virus;unclassified Sk1virus;Lactococcus phage 936 sensu lato;Lactococcus phage ASCC;Lactococcus phage ASCC395
GCA_002628765	60311	1	97	2005	MF472892	root;Viruses;dsDNA viruses, no RNA stage;Caudovirales;Siphoviridae;Tm4virus;unclassified Tm4virus;Mycobacterium phage TreyKay
GCA_002610825	33253	1	46	3194	KX077889	root;Viruses;unclassified bacterial viruses;Streptococcus phage phiZJ20091101-1
GCA_002592645	32241	1	59	4095	JQ740800	root;Viruses;dsDNA viruses, no RNA stage;Caudovirales;Siphoviridae;Sk1virus;unclassified Sk1virus;Lactococcus phage 936 sensu lato;Lactococcus phage ASCC;Lactococcus phage ASCC397
GCA_002628785	45389	1	68	1133	MF141540	root;Viruses;dsDNA viruses, no RNA stage;Caudovirales;Siphoviridae;unclassified Siphoviridae;Mycobacterium phage Avocado
GCA_002610845	49822	1	75	6860	KX228399	root;Viruses;dsDNA viruses, no RNA stage;Caudovirales;Myoviridae;unclassified Myoviridae;Clostridium phage CDKM9
GCA_002592665	32180	1	59	4091	JQ740801	root;Viruses;dsDNA viruses, no RNA stage;Caudovirales;Siphoviridae;Sk1virus;unclassified Sk1virus;Lactococcus phage 936 sensu lato;Lactococcus phage ASCC;Lactococcus phage ASCC406
GCA_002628805	50514	1	94	1939	MF141539	root;Viruses;dsDNA viruses, no RNA stage;Caudovirales;Siphoviridae;unclassified Siphoviridae;Mycobacterium phage MyraDee
GCA_002592685	32583	1	58	4112	JQ740802	root;Viruses;dsDNA viruses, no RNA stage;Caudovirales;Siphoviridae;Sk1virus;unclassified Sk1virus;Lactococcus phage 936 sensu lato;Lactococcus phage ASCC;Lactococcus phage ASCC454
GCA_002610875	50605	1	79	7033	KX228400	root;Viruses;dsDNA viruses, no RNA stage;Caudovirales;Myoviridae;unclassified Myoviridae;Clostridium phage CDKM15
GCA_002628825	29178	1	47	2372	MF158036	root;Viruses;dsDNA viruses, no RNA stage;Caudovirales;Siphoviridae;Guernseyvirinae;unclassified Guernseyvirinae;Salmonella phage St161
GCA_002592705	32242	1	59	4092	JQ740803	root;Viruses;dsDNA viruses, no RNA stage;Caudovirales;Siphoviridae;Sk1virus;unclassified Sk1virus;Lactococcus phage 936 sensu lato;Lactococcus phage ASCC;Lactococcus phage ASCC460
GCA_002610895	60973	1	83	2348	KX198613	root;Viruses;dsDNA viruses, no RNA stage;Caudovirales;Siphoviridae;unclassified Siphoviridae;Pseudomonas phage AN14
GCA_002592725	32242	1	59	4092	JQ740806	root;Viruses;dsDNA viruses, no RNA stage;Caudovirales;Siphoviridae;Sk1virus;unclassified Sk1virus;Lactococcus phage 936 sensu lato;Lactococcus phage ASCC;Lactococcus phage ASCC476
GCA_002628845	42701	1	62	3371	MF158037	root;Viruses;dsDNA viruses, no RNA stage;Caudovirales;Siphoviridae;Guernseyvirinae;unclassified Guernseyvirinae;Salmonella phage St162
GCA_002592745	31774	1	56	4023	JQ740808	root;Viruses;dsDNA viruses, no RNA stage;Caudovirales;Siphoviridae;Sk1virus;unclassified Sk1virus;Lactococcus phage 936 sensu lato;Lactococcus phage ASCC;Lactococcus phage ASCC497
GCA_002610955	43223	1	67	4949	KX227757	root;Viruses;dsDNA viruses, no RNA stage;Caudovirales;Siphoviridae;unclassified Siphoviridae;Bacillus phage PfEFR-5;Bacillus phage PfEFR-4
GCA_002628865	48262	1	73	4883	MF158042	root;Viruses;unclassified bacterial viruses;Shigella phage Sd1
GCA_002592765	32275	1	58	4080	JQ740809	root;Viruses;dsDNA viruses, no RNA stage;Caudovirales;Siphoviridae;Sk1virus;unclassified Sk1virus;Lactococcus phage 936 sensu lato;Lactococcus phage ASCC;Lactococcus phage ASCC502
GCA_002628885	46454	1	80	4012	MF158038	root;Viruses;unclassified bacterial viruses;Shigella phage Sf11
GCA_002610985	48709	1	81	5738	KX227759	root;Viruses;dsDNA viruses, no RNA stage;Caudovirales;Siphoviridae;unclassified Siphoviridae;Bacillus phage PfIS075
GCA_002592785	32249	1	58	4088	JQ740810	root;Viruses;dsDNA viruses, no RNA stage;Caudovirales;Siphoviridae;Sk1virus;unclassified Sk1virus;Lactococcus phage 936 sensu lato;Lactococcus phage ASCC;Lactococcus phage ASCC506
GCA_002592805	32345	1	58	4086	JQ740811	root;Viruses;dsDNA viruses, no RNA stage;Caudovirales;Siphoviridae;Sk1virus;unclassified Sk1virus;Lactococcus phage 936 sensu lato;Lactococcus phage ASCC;Lactococcus phage ASCC527
GCA_002628905	47647	1	74	4867	MF158039	root;Viruses;unclassified bacterial viruses;Shigella phage Sf12
GCA_002611025	48055	1	80	5651	KX227758	root;Viruses;dsDNA viruses, no RNA stage;Caudovirales;Siphoviridae;unclassified Siphoviridae;Bacillus phage PfNC7401
GCA_002592825	31773	1	57	4023	JQ740812	root;Viruses;dsDNA viruses, no RNA stage;Caudovirales;Siphoviridae;Sk1virus;unclassified Sk1virus;Lactococcus phage 936 sensu lato;Lactococcus phage ASCC;Lactococcus phage ASCC531
GCA_002611045	37385	1	59	4156	KX190834	root;Viruses;dsDNA viruses, no RNA stage;Caudovirales;Siphoviridae;unclassified Siphoviridae;Bacillus phage BMBtpLA3
GCA_002592865	30692	1	51	3836	KC522412	root;Viruses;dsDNA viruses, no RNA stage;Caudovirales;Siphoviridae;Sk1virus;unclassified Sk1virus;Lactococcus phage 936 sensu lato;Lactococcus phage CaseusJM1
GCA_002592885	29247	1	51	3673	KC182543	root;Viruses;dsDNA viruses, no RNA stage;Caudovirales;Siphoviridae;Sk1virus;unclassified Sk1virus;Lactococcus phage 936 sensu lato;Lactococcus lactis phage 645
GCA_002628925	87570	1	132	9820	MF158040	root;Viruses;dsDNA viruses, no RNA stage;Caudovirales;Myoviridae;Ounavirinae;Mooglevirus;unclassified Mooglevirus;Shigella phage Sf13
GCA_002611085	50740	1	75	5689	KX190833	root;Viruses;unclassified bacterial viruses;Bacillus phage vB_BtS_BMBtp14
GCA_002592905	27302	1	49	3499	KC182544	root;Viruses;dsDNA viruses, no RNA stage;Caudovirales;Siphoviridae;Sk1virus;unclassified Sk1virus;Lactococcus phage 936 sensu lato;Lactococcus phage 936
GCA_002611105	34986	1	47	3977	KX190835	root;Viruses;unclassified bacterial viruses;Bacillus phage vB_BtS_BMBtp15
GCA_002592925	30674	1	53	3920	KC182545	root;Viruses;dsDNA viruses, no RNA stage;Caudovirales;Siphoviridae;Sk1virus;unclassified Sk1virus;Lactococcus phage 936 sensu lato;Lactococcus phage fd13
GCA_002592945	30796	1	58	3861	KC182548	root;Viruses;dsDNA viruses, no RNA stage;Caudovirales;Siphoviridae;Sk1virus;unclassified Sk1virus;Lactococcus phage 936 sensu lato;Lactococcus lactis phage P113G
GCA_002611125	66922	1	90	3459	KX171208	root;Viruses;dsDNA viruses, no RNA stage;Caudovirales;Myoviridae;Pbunavirus;unclassified Pbunalikevirus;Pseudomonas phage vB_Pae436M-8
GCA_002628945	88474	1	134	9923	MF158041	root;Viruses;dsDNA viruses, no RNA stage;Caudovirales;Myoviridae;Ounavirinae;Mooglevirus;unclassified Mooglevirus;Shigella phage Sf15
GCA_002592965	30778	1	61	3860	KC182549	root;Viruses;dsDNA viruses, no RNA stage;Caudovirales;Siphoviridae;Sk1virus;unclassified Sk1virus;Lactococcus phage 936 sensu lato;Lactococcus lactis phage p272
GCA_002592985	30961	1	57	3864	KC182550	root;Viruses;dsDNA viruses, no RNA stage;Caudovirales;Siphoviridae;Sk1virus;unclassified Sk1virus;Lactococcus phage 936 sensu lato;Lactococcus lactis phage P475
GCA_002611145	72728	1	92	4337	KX171209	root;Viruses;dsDNA viruses, no RNA stage;Caudovirales;Podoviridae;Lit1virus;unclassified Lit1virus;Pseudomonas phage vB_Pae575P-3
GCA_002628985	90270	1	136	10175	MF158044	root;Viruses;dsDNA viruses, no RNA stage;Caudovirales;Myoviridae;Ounavirinae;Mooglevirus;unclassified Mooglevirus;Shigella phage Sf18
GCA_002593005	28452	1	53	3600	KF676640	root;Viruses;dsDNA viruses, no RNA stage;Caudovirales;Siphoviridae;Sk1virus;Lactococcus virus sk1;Lactococcus phage SK1833
GCA_002593025	31945	1	55	4058	KM091442	root;Viruses;dsDNA viruses, no RNA stage;Caudovirales;Siphoviridae;Sk1virus;unclassified Sk1virus;Lactococcus phage 936 sensu lato;Lactococcus phage phi15
GCA_002611165	72508	1	91	4330	KX171210	root;Viruses;dsDNA viruses, no RNA stage;Caudovirales;Podoviridae;Lit1virus;unclassified Lit1virus;Pseudomonas phage vB_Pae1396P-5
GCA_000320725	1193433	10	807	155542	AFYC01000008;AFYC01000001;AFYC01000007;AFYC01000009;AFYC01000004;AFYC01000006;AFYC01000010;AFYC01000003;AFYC01000005;AFYC01000002	root;Viruses;dsDNA viruses, no RNA stage;Mimiviridae;unclassified Mimiviridae;Acanthamoeba polyphaga lentillevirus
GCA_002593045	31841	1	55	4015	KM091443	root;Viruses;dsDNA viruses, no RNA stage;Caudovirales;Siphoviridae;Sk1virus;unclassified Sk1virus;Lactococcus phage 936 sensu lato;Lactococcus phage phi93
GCA_002593065	30862	1	55	3852	KM091444	root;Viruses;dsDNA viruses, no RNA stage;Caudovirales;Siphoviridae;Sk1virus;unclassified Sk1virus;Lactococcus phage 936 sensu lato;Lactococcus phage phi145
GCA_002593105	28349	1	49	3545	KP793102	root;Viruses;dsDNA viruses, no RNA stage;Caudovirales;Siphoviridae;Sk1virus;unclassified Sk1virus;Lactococcus phage 936 sensu lato;Lactococcus phage 936 group phage PhiA.16
GCA_002629005	167678	1	271	20333	MF158046	root;Viruses;dsDNA viruses, no RNA stage;Caudovirales;Myoviridae;Tevenvirinae;T4virus;unclassified T4virus;Shigella phage Sf23
GCA_002593125	28437	1	50	3556	KP793103	root;Viruses;dsDNA viruses, no RNA stage;Caudovirales;Siphoviridae;Sk1virus;unclassified Sk1virus;Lactococcus phage 936 sensu lato;Lactococcus phage 936 group phage Phi19
GCA_002611185	158986	1	204	13315	KX171211	root;Viruses;dsDNA viruses, no RNA stage;Caudovirales;Ackermannviridae;Cvivirinae;Cba120virus;unclassified Cba120virus;Salmonella phage vB_SenM-2
GCA_000838025	131405	1	135	11999	AF271059	root;Viruses;dsDNA viruses, no RNA stage;Baculoviridae;Alphabaculovirus;Helicoverpa armigera nucleopolyhedrovirus;Helicoverpa armigera nucleopolyhedrovirus G4
GCA_000842325	1363	1	1	138	AJ579359	root;Viruses;Satellites;Satellite Nucleic Acids;Single stranded DNA satellites;Alphasatellitidae;Geminialphasatellitinae;Colecusatellite;Tomato yellow leaf curl China alphasatellite;Tomato yellow leaf curl Thailand virus associated DNA 1
GCA_002593145	28785	1	53	3565	KP793104	root;Viruses;dsDNA viruses, no RNA stage;Caudovirales;Siphoviridae;Sk1virus;unclassified Sk1virus;Lactococcus phage 936 sensu lato;Lactococcus phage 936 group phage PhiB1127
GCA_002593165	28811	1	52	3645	KP793105	root;Viruses;dsDNA viruses, no RNA stage;Caudovirales;Siphoviridae;Sk1virus;unclassified Sk1virus;Lactococcus phage 936 sensu lato;Lactococcus phage 936 group phage Phi19.3
GCA_002593185	28873	1	52	3625	KP793106	root;Viruses;dsDNA viruses, no RNA stage;Caudovirales;Siphoviridae;Sk1virus;unclassified Sk1virus;Lactococcus phage 936 sensu lato;Lactococcus phage 936 group phage PhiA1127
GCA_002593205	28833	1	53	3573	KP793107	root;Viruses;dsDNA viruses, no RNA stage;Caudovirales;Siphoviridae;Sk1virus;unclassified Sk1virus;Lactococcus phage 936 sensu lato;Lactococcus phage 936 group phage PhiD.18
GCA_002629025	148464	1	236	21709	MF398190	root;Viruses;dsDNA viruses, no RNA stage;Caudovirales;Myoviridae;Spounavirinae;Kayvirus;unclassified Kayvirus;Staphylococcus phage vB_SauM-fRuSau02
GCA_002593225	29026	1	53	3633	KP793108	root;Viruses;dsDNA viruses, no RNA stage;Caudovirales;Siphoviridae;Sk1virus;unclassified Sk1virus;Lactococcus phage 936 sensu lato;Lactococcus phage 936 group phage Phi5.12
GCA_000845685	159378	1	88	14543	X83413	root;Viruses;dsDNA viruses, no RNA stage;Herpesvirales;Herpesviridae;Betaherpesvirinae;Roseolovirus;Human betaherpesvirus 6A
GCA_002611205	139681	1	203	19892	KX171212	root;Viruses;unclassified bacterial viruses;Staphylococcus phage vB_SscM-1
GCA_000848765	5176	1	2	491	X01457	root;Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Protoparvovirus;Rodent protoparvovirus 1;H-1 parvovirus
GCA_000851125	12499	4	7	1436	AF525935;AF525933;AF525936;AF525934	root;Viruses;ssRNA viruses;ssRNA negative-strand viruses;Aspiviridae;Ophiovirus;Mirafiori lettuce big-vein virus
GCA_002593245	29032	1	53	3585	KP793109	root;Viruses;dsDNA viruses, no RNA stage;Caudovirales;Siphoviridae;Sk1virus;unclassified Sk1virus;Lactococcus phage 936 sensu lato;Lactococcus phage 936 group phage PhiC0139
GCA_000854445	19176	10	10	1837	Y00421;BTVVP5;BTVS9VP6;X12819;BTVP8NS;BTVS8NS2;Y00422;BTVL2;BTVL3A;X06463	root;Viruses;dsRNA viruses;Reoviridae;Sedoreovirinae;Orbivirus;Bluetongue virus
GCA_000859225	4553	3	3	364	AY615212;AY615211;AY615213	root;Viruses;dsRNA viruses;Partitiviridae;Gammapartitivirus;Gremmeniella abietina RNA virus MS1;Gremmeniella abietina RNA virus MS2
GCA_002593265	29416	1	54	3648	KP793110	root;Viruses;dsDNA viruses, no RNA stage;Caudovirales;Siphoviridae;Sk1virus;unclassified Sk1virus;Lactococcus phage 936 sensu lato;Lactococcus phage 936 group phage Phi43
GCA_002593285	30178	1	54	3728	KP793112	root;Viruses;dsDNA viruses, no RNA stage;Caudovirales;Siphoviridae;Sk1virus;unclassified Sk1virus;Lactococcus phage 936 sensu lato;Lactococcus phage 936 group phage Phi129
GCA_002593305	30389	1	56	3807	KP793113	root;Viruses;dsDNA viruses, no RNA stage;Caudovirales;Siphoviridae;Sk1virus;unclassified Sk1virus;Lactococcus phage 936 sensu lato;Lactococcus phage 936 group phage PhiF.17
GCA_002611225	139682	1	202	19892	KX171213	root;Viruses;unclassified bacterial viruses;Staphylococcus phage vB_SscM-2
GCA_002593345	30532	1	53	3879	KP793115	root;Viruses;dsDNA viruses, no RNA stage;Caudovirales;Siphoviridae;Sk1virus;unclassified Sk1virus;Lactococcus phage 936 sensu lato;Lactococcus phage 936 group phage Phi114
GCA_002629045	235108	1	243	19796	MF459646	root;Viruses;dsDNA viruses, no RNA stage;Caudovirales;Myoviridae;unclassified Myoviridae;Erwinia phage vB_EamM_RisingSun
GCA_002611245	34067	1	60	3935	KX160204	root;Viruses;dsDNA viruses, no RNA stage;Caudovirales;Siphoviridae;unclassified Siphoviridae;Lactococcus phage 38502
GCA_002593365	30577	1	54	3847	KP793116	root;Viruses;dsDNA viruses, no RNA stage;Caudovirales;Siphoviridae;Sk1virus;unclassified Sk1virus;Lactococcus phage 936 sensu lato;Lactococcus phage 936 group phage Phi13.16
GCA_000869385	134417	1	152	12199	DQ457003	root;Viruses;dsDNA viruses, no RNA stage;Baculoviridae;Alphabaculovirus;Autographa californica multiple nucleopolyhedrovirus;Plutella xylostella multiple nucleopolyhedrovirus
GCA_002611265	35800	1	60	4041	KX160205	root;Viruses;dsDNA viruses, no RNA stage;Caudovirales;Siphoviridae;unclassified Siphoviridae;Lactococcus phage 49801
GCA_002593385	30594	1	58	3860	KP793117	root;Viruses;dsDNA viruses, no RNA stage;Caudovirales;Siphoviridae;Sk1virus;unclassified Sk1virus;Lactococcus phage 936 sensu lato;Lactococcus phage 936 group phage PhiG
GCA_000872585	33507	1	45	2681	AB374228	root;Viruses;dsDNA viruses, no RNA stage;Caudovirales;Myoviridae;Peduovirinae;Hp1virus;Vibrio virus Kappa
GCA_000880335	4533	2	3	318	EU826138;EU826137	root;Viruses;ssRNA viruses;ssRNA positive-strand viruses, no DNA stage;Nodaviridae;Betanodavirus;Barfin flounder nervous necrosis virus;Barfin flounder virus BF93Hok
GCA_002611285	30745	1	47	3498	KX160206	root;Viruses;dsDNA viruses, no RNA stage;Caudovirales;Siphoviridae;unclassified Siphoviridae;Lactococcus phage 50902
GCA_002593405	30811	1	57	3851	KP793118	root;Viruses;dsDNA viruses, no RNA stage;Caudovirales;Siphoviridae;Sk1virus;unclassified Sk1virus;Lactococcus phage 936 sensu lato;Lactococcus phage 936 group phage PhiF0139
GCA_002593425	30882	1	55	3854	KP793120	root;Viruses;dsDNA viruses, no RNA stage;Caudovirales;Siphoviridae;Sk1virus;unclassified Sk1virus;Lactococcus phage 936 sensu lato;Lactococcus phage 936 group phage PhiL.18
GCA_002611325	36445	1	58	4118	KX160208	root;Viruses;dsDNA viruses, no RNA stage;Caudovirales;Siphoviridae;unclassified Siphoviridae;Lactococcus phage 53802
GCA_002593445	31033	1	54	3913	KP793121	root;Viruses;dsDNA viruses, no RNA stage;Caudovirales;Siphoviridae;Sk1virus;unclassified Sk1virus;Lactococcus phage 936 sensu lato;Lactococcus phage 936 group phage Phi109
GCA_002611345	30238	1	49	3441	KX160209	root;Viruses;dsDNA viruses, no RNA stage;Caudovirales;Siphoviridae;unclassified Siphoviridae;Lactococcus phage 58502
GCA_000883175	132425	1	143	12034	AP010907	root;Viruses;dsDNA viruses, no RNA stage;Baculoviridae;Alphabaculovirus;Helicoverpa armigera nucleopolyhedrovirus;Helicoverpa armigera NPV NNg1
GCA_002593465	31181	1	59	3939	KP793122	root;Viruses;dsDNA viruses, no RNA stage;Caudovirales;Siphoviridae;Sk1virus;unclassified Sk1virus;Lactococcus phage 936 sensu lato;Lactococcus phage 936 group phage PhiL.6
GCA_002611365	30616	1	52	3470	KX160210	root;Viruses;dsDNA viruses, no RNA stage;Caudovirales;Siphoviridae;unclassified Siphoviridae;Lactococcus phage 62502
GCA_002629065	235374	1	245	19846	MF459647	root;Viruses;dsDNA viruses, no RNA stage;Caudovirales;Myoviridae;unclassified Myoviridae;Erwinia phage vB_EamM_Joad
GCA_002593485	31375	1	59	3920	KP793123	root;Viruses;dsDNA viruses, no RNA stage;Caudovirales;Siphoviridae;Sk1virus;unclassified Sk1virus;Lactococcus phage 936 sensu lato;Lactococcus phage 936 group phage Phi4.2
GCA_002611385	30556	1	50	3445	KX160211	root;Viruses;dsDNA viruses, no RNA stage;Caudovirales;Siphoviridae;unclassified Siphoviridae;Lactococcus phage 62503
GCA_002593505	31379	1	52	3990	KP793124	root;Viruses;dsDNA viruses, no RNA stage;Caudovirales;Siphoviridae;Sk1virus;unclassified Sk1virus;Lactococcus phage 936 sensu lato;Lactococcus phage 936 group phage Phi44
GCA_002611405	34635	1	55	3905	KX160212	root;Viruses;dsDNA viruses, no RNA stage;Caudovirales;Siphoviridae;unclassified Siphoviridae;Lactococcus phage 98101
GCA_002593525	31495	1	58	3959	KP793125	root;Viruses;dsDNA viruses, no RNA stage;Caudovirales;Siphoviridae;Sk1virus;unclassified Sk1virus;Lactococcus phage 936 sensu lato;Lactococcus phage 936 group phage Phi91127
GCA_000884815	126770	1	141	11554	FJ882854	root;Viruses;dsDNA viruses, no RNA stage;Baculoviridae;Alphabaculovirus;Bombyx mori nucleopolyhedrovirus;Bombyx mandarina nucleopolyhedrovirus
GCA_000890455	2744	1	7	241	GU112081	root;Viruses;ssDNA viruses;Geminiviridae;Begomovirus;Cotton leaf curl Alabad virus;Cotton leaf curl Allahabad virus [India:Karnal:OY77:2005]
GCA_002611425	34421	1	53	3898	KX160213	root;Viruses;dsDNA viruses, no RNA stage;Caudovirales;Siphoviridae;unclassified Siphoviridae;Lactococcus phage 98102
GCA_000897655	2589	1	2	200	JX274036	root;Viruses;unclassified viruses;Porcine stool-associated circular virus
